"ISO3","Year","GDP_USD","Population_Total","Health_Exp_Percent_GDP","Polity_Score","Inactivity_Adolescents_Percent","Is_Host","GDP_per_Capita","Health_Exp_per_Capita_USD","Log_Population","Log_GDP_per_Capita"
"SAU",1963,2207393171.55556,2719341,NA,-10,NA,0,811.738274661236,NA,14.815900129506,6.69917796635906
"SAU",1964,2371808712.88889,2821968,NA,-10,NA,0,840.480371460233,NA,14.8529450718551,6.73397359916757
"SAU",1965,2647955557.55556,2928771,NA,-10,NA,0,904.118334125666,NA,14.8900934390729,6.80696025240693
"SAU",1966,2920555557.11111,3039887,NA,-10,NA,0,960.744776733843,NA,14.9273309016389,6.86770879277531
"SAU",1967,3257022222.66667,3157242,NA,-10,NA,0,1031.60360297585,NA,14.9652094196545,6.93886976661048
"SAU",1968,4187777711.11111,3282711,NA,-10,NA,0,1275.70709426176,NA,15.0041801633674,7.15125588760251
"SAU",1969,4485777644.44444,3417114,NA,-10,NA,0,1312.73865737123,NA,15.0443068931397,7.17987081212355
"SAU",1970,5377333333.33333,3562470,NA,-10,NA,0,1509.43961165521,NA,15.085964682471,7.31949374281847
"SAU",1971,7184806909.28939,3724031,NA,-10,NA,0,1929.30910330483,NA,15.1303172417268,7.5649172402474
"SAU",1972,9664267086.60323,3905722,NA,-10,NA,0,2474.38683208975,NA,15.1779532153308,7.81374789969882
"SAU",1973,14947435499.323,4106344,NA,-10,NA,0,3640.08361192413,NA,15.2280436528861,8.1997619306758
"SAU",1974,45412957746.4789,4323632,NA,-10,NA,0,10503.4280777085,NA,15.2796063477365,9.25945696645273
"SAU",1975,46773208642.6814,4556287,NA,-10,NA,0,10265.641440647,NA,15.3320185954194,9.23655781563001
"SAU",1976,64005665722.3796,4807933,NA,-10,NA,0,13312.5119926546,NA,15.3857778199919,9.49645962330806
"SAU",1977,74188986586.0629,5083048,NA,-10,NA,0,14595.3739933329,NA,15.4414216396266,9.58845990771722
"SAU",1978,80266516686.5614,5381902,NA,-10,NA,0,14914.1542686138,NA,15.4985524012589,9.61006599192941
"SAU",1979,111858444786.224,5703698,NA,-10,NA,0,19611.565126033,NA,15.5566252943731,9.88387472865382
"SAU",1980,164539660725.118,6047997,NA,-10,NA,0,27205.6452285142,NA,15.6152377008096,10.2111797759155
"SAU",1981,184291360138.69,6420551,NA,-10,NA,0,28703.35585508,NA,15.6750144975285,10.2647693236605
"SAU",1982,153240313858.323,6824486,NA,-10,NA,0,22454.4843169615,NA,15.7360275848439,10.0192456200816
"SAU",1983,129171635311.143,7252941,NA,-10,NA,0,17809.5527471053,NA,15.7969175997475,9.78749026350939
